Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexPage,CustomField,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WebLink,WorkflowFieldUpdate
Account,00N5b00000E2ikvEAB,DEX_CustomerHierarchyLevel7,null,CustomField,,,,,,X,,,,,
Account,00N5b00000E2ikwEAB,DEX_Customer_Hierarchy_Level_6,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ikxEAB,DEX_Customer_Id,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikzEAB,DEX_DeliverooId,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2il2EAB,DEX_Direct_Order_Wholesaler,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2il4EAB,DEX_Do_not_call,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2il5EAB,DEX_Do_not_visit,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2il6EAB,DEX_Do_you_have_terrace_outside_seating,null,CustomField,,,,,,X,,,,,
Account,00N5b00000E2il7EAB,DEX_Do_you_offer_a_home_delivery_Service,null,CustomField,,,,,,X,,,,,
Account,00N5b00000E2il8EAB,DEX_Do_you_offer_takeaways,null,CustomField,,,,,,X,,,,,
Account,00N5b00000E2il9EAB,DEX_Dont_Send_to_Front_End,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2ilAEAR,DEX_ECCEmployeeID,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ilBEAR,DEX_EOTM,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ilCEAR,DEX_FH_BenJerry,null,CustomField,X,,,,,,,,,,
